line_id, coordinate_x, coordinate_y
0, 12.0024, 1.0701e-16
0, 12.2024, 1.074e-16
0, 12.4025, 1.07755e-16
0, 12.6025, 1.08076e-16
0, 12.8026, 1.08362e-16
0, 13.0026, 1.08613e-16
0, 13.2026, 1.08831e-16
0, 13.4027, 1.09015e-16
0, 13.6027, 1.09167e-16
0, 13.8028, 1.09286e-16
0, 14.0028, 1.09372e-16
0, 14.2028, 1.09426e-16
0, 14.4029, 1.09449e-16
0, 14.6029, 1.09442e-16
0, 14.803, 1.09403e-16
0, 15.003, 1.09333e-16
0, 15.203, 1.09232e-16
0, 15.4031, 1.09103e-16
0, 15.6031, 1.08944e-16
0, 15.8032, 1.08756e-16
0, 16.0032, 1.08539e-16
0, 16.2032, 1.08293e-16
0, 16.4033, 1.08019e-16
0, 16.6033, 1.07718e-16
0, 16.8034, 1.07389e-16
0, 17.0034, 1.07032e-16
0, 17.2034, 1.06648e-16
0, 17.4035, 1.06239e-16
0, 17.6035, 1.05803e-16
0, 17.8036, 1.0534e-16
0, 18.0036, 1.04852e-16
0, 18.2036, 1.04343e-16
0, 18.4037, 1.03819e-16
0, 18.6037, 1.03279e-16
0, 18.8038, 1.02724e-16
0, 19.0038, 1.02153e-16
0, 19.2038, 1.01558e-16
0, 19.4039, 1.0093e-16
0, 19.6039, 1.0027e-16
0, 19.804, 9.95774e-17
1, 0, 1
1, 0.200041, 0.999998
1, 0.400085, 0.999994
1, 0.600131, 0.999986
1, 0.800179, 0.999975
1, 1.00023, 0.999961
1, 1.20028, 0.999946
1, 1.40034, 0.999929
1, 1.60039, 0.999912
1, 1.80044, 0.999894
1, 2.0005, 0.999876
1, 2.20056, 0.999857
1, 2.40061, 0.999838
1, 2.60067, 0.99982
1, 2.80073, 0.999802
1, 3.00079, 0.999784
1, 3.20084, 0.999766
1, 3.4009, 0.999748
1, 3.60096, 0.999731
1, 3.80102, 0.999714
1, 4.00108, 0.999697
1, 4.20113, 0.99968
1, 4.40119, 0.999663
1, 4.60125, 0.999647
1, 4.80131, 0.999631
1, 5.00137, 0.999615
1, 5.20143, 0.999599
1, 5.40149, 0.999583
1, 5.60155, 0.999568
1, 5.80161, 0.999553
1, 6.00167, 0.999538
1, 6.20173, 0.999523
1, 6.40179, 0.999508
1, 6.60185, 0.999493
1, 6.80191, 0.999479
1, 7.00197, 0.999465
1, 7.20203, 0.999451
1, 7.40209, 0.999437
1, 7.60215, 0.999424
1, 7.80221, 0.99941
1, 8.00227, 0.999397
1, 8.20234, 0.999384
1, 8.4024, 0.999371
1, 8.60246, 0.999358
1, 8.80252, 0.999346
1, 9.00258, 0.999333
1, 9.20264, 0.999321
1, 9.40271, 0.999309
1, 9.60277, 0.999297
1, 9.80283, 0.999285
1, 10.0029, 0.999274
1, 10.203, 0.999263
1, 10.403, 0.999251
1, 10.6031, 0.99924
1, 10.8031, 0.999229
1, 11.0032, 0.999219
1, 11.2033, 0.999208
1, 11.4033, 0.999198
1, 11.6034, 0.999187
1, 11.8035, 0.999177
1, 12.0035, 0.999167
1, 12.2036, 0.999157
1, 12.4037, 0.999148
1, 12.6037, 0.999138
1, 12.8038, 0.999129
1, 13.0038, 0.99912
1, 13.2039, 0.99911
1, 13.404, 0.999102
1, 13.604, 0.999093
1, 13.8041, 0.999084
1, 14.0042, 0.999076
1, 14.2042, 0.999067
1, 14.4043, 0.999059
1, 14.6044, 0.999051
1, 14.8044, 0.999043
1, 15.0045, 0.999035
1, 15.2046, 0.999028
1, 15.4046, 0.99902
1, 15.6047, 0.999013
1, 15.8048, 0.999005
1, 16.0048, 0.998998
